,game_id,season,type,date_time_GMT,away_team_id,home_team_id,away_goals,home_goals,outcome,venue,game_state
0,2020020224,20202021,2,2021-02-12T01:30:00Z,12,25,5,3,away winREG,American Airlines Center,OFF
1,2020020225,20202021,2,2021-04-13T01:00:00Z,53,21,2,4,home win REG,Ball Arena,OFF
2,2020020226,20202021,2,2021-02-12T03:00:00Z,24,54,1,0,away winREG,T-Mobile Arena,OFF
3,2020020227,20202021,2,2021-02-12T03:00:00Z,28,26,2,6,home win REG,STAPLES Center,OFF
4,2020020228,20202021,2,2021-02-13T00:00:00Z,6,3,1,0,away winREG,Madison Square Garden,OFF
5,2020020229,20202021,2,2021-04-09T23:00:00Z,15,7,4,3,away winREG,KeyBank Center,OFF
6,2020020230,20202021,2,2021-02-14T00:00:00Z,6,2,2,4,home win REG,Nassau Veterans Memorial Coliseum,OFF
7,2020020231,20202021,2,2021-05-10T23:00:00Z,1,4,2,4,home win REG,Wells Fargo Center,OFF
8,2020020232,20202021,2,2021-02-14T00:00:00Z,14,13,6,1,away winREG,BB&T Center,OFF
9,2020020233,20202021,2,2021-02-14T01:00:00Z,29,16,2,3,home win OT,United Center,OFF
10,2020020234,20202021,2,2021-02-14T01:00:00Z,17,18,4,2,away winREG,Bridgestone Arena,OFF
11,2020020235,20202021,2,2021-02-14T00:00:00Z,8,10,2,1,away winREG,Scotiabank Arena,OFF
12,2020020236,20202021,2,2021-02-13T20:00:00Z,9,52,2,1,away winREG,Bell MTS Place,OFF
13,2020020237,20202021,2,2021-02-14T03:00:00Z,20,23,1,3,home win REG,Rogers Arena,OFF
14,2020020238,20202021,2,2021-02-14T01:00:00Z,12,25,4,3,away winOT,American Airlines Center,OFF
15,2020020239,20202021,2,2021-02-14T01:00:00Z,19,53,5,4,away winOT,Gila River Arena,OFF
16,2020020240,20202021,2,2021-04-24T02:00:00Z,30,26,4,2,away winREG,STAPLES Center,OFF
17,2020020241,20202021,2,2021-04-07T02:30:00Z,24,28,5,1,away winREG,SAP Center at San Jose,OFF
18,2020020242,20202021,2,2021-02-14T20:00:00Z,15,5,3,6,home win REG,PPG Paints Arena,OFF
19,2020020243,20202021,2,2021-02-15T00:00:00Z,21,54,0,1,home win REG,T-Mobile Arena,OFF
20,2020020244,20202021,2,2021-03-07T22:00:00Z,1,6,1,0,away winREG,TD Garden,OFF
21,2020020245,20202021,2,2021-02-16T00:00:00Z,2,7,3,1,away winREG,KeyBank Center,OFF
22,2020020246,20202021,2,2021-02-16T00:30:00Z,16,17,3,2,away winOT,Little Caesars Arena,OFF
23,2020020247,20202021,2,2021-02-16T00:00:00Z,9,10,6,5,away winOT,Scotiabank Arena,OFF
24,2020020248,20202021,2,2021-02-16T02:00:00Z,52,22,6,5,away winREG,Rogers Place,OFF
25,2020020249,20202021,2,2021-02-16T03:00:00Z,20,23,4,3,away winOT,Rogers Arena,OFF
26,2020020250,20202021,2,2021-03-08T01:00:00Z,18,25,4,3,away winOT,American Airlines Center,OFF
27,2020020251,20202021,2,2021-02-15T21:00:00Z,19,53,0,1,home win REG,Gila River Arena,OFF
28,2020020252,20202021,2,2021-02-16T03:30:00Z,24,28,2,3,home win REG,SAP Center at San Jose,OFF
29,2020020253,20202021,2,2021-02-17T00:00:00Z,2,7,3,0,away winREG,KeyBank Center,OFF
30,2020020254,20202021,2,2021-04-22T23:00:00Z,4,3,3,2,away winREG,Madison Square Garden,OFF
31,2020020255,20202021,2,2021-02-16T00:00:00Z,29,12,3,7,home win REG,PNC Arena,OFF
32,2020020256,20202021,2,2021-02-16T00:00:00Z,13,14,6,4,away winREG,Amalie Arena,OFF
33,2020020257,20202021,2,2021-02-17T00:00:00Z,15,5,3,1,away winREG,PPG Paints Arena,OFF
34,2020020258,20202021,2,2021-03-22T00:30:00Z,18,25,4,3,away winOT,American Airlines Center,OFF
35,2020020259,20202021,2,2021-02-17T03:00:00Z,21,54,3,2,away winREG,T-Mobile Arena,OFF
36,2020020260,20202021,2,2021-02-17T03:00:00Z,30,26,0,4,home win REG,STAPLES Center,OFF
37,2020020261,20202021,2,2021-02-18T00:30:00Z,16,17,2,0,away winREG,Little Caesars Arena,OFF
38,2020020262,20202021,2,2021-02-18T00:00:00Z,9,10,1,2,home win REG,Scotiabank Arena,OFF
39,2020020263,20202021,2,2021-02-18T03:00:00Z,23,20,5,1,away winREG,Scotiabank Saddledome,OFF
40,2020020264,20202021,2,2021-02-18T03:00:00Z,52,22,2,3,home win REG,Rogers Place,OFF
