,game_id,season,type,date_time_GMT,away_team_id,home_team_id,away_goals,home_goals,outcome,venue,game_state
0,2021040661,20212022,4,2022-02-05T20:00:00Z,88,90,6,4,away winOT,T-Mobile Arena,FINAL
1,2021040662,20212022,4,2022-02-05T21:00:00Z,87,89,5,8,home win OT,T-Mobile Arena,FINAL
2,2021040663,20212022,4,2022-02-05T22:00:00Z,89,88,3,5,home win OT,T-Mobile Arena,FINAL
3,2021010001,20212022,1,2021-09-25T23:00:00Z,8,10,1,4,home win OT,Scotiabank Arena,FINAL
4,2021010002,20212022,1,2021-09-26T00:00:00Z,30,19,2,6,home win REG,Enterprise Center,FINAL
5,2021010003,20212022,1,2021-09-26T18:00:00Z,18,13,4,5,home win OT,FLA Live Arena,FINAL
6,2021010004,20212022,1,2021-09-26T21:00:00Z,6,15,3,2,away winOT,Capital One Arena,FINAL
7,2021010005,20212022,1,2021-09-26T22:00:00Z,18,13,1,3,home win REG,FLA Live Arena,FINAL
8,2021010006,20212022,1,2021-09-26T23:00:00Z,2,3,4,0,away winREG,Madison Square Garden,FINAL
9,2021010007,20212022,1,2021-09-27T00:00:00Z,9,52,3,2,away winOT,Canada Life Centre,FINAL
10,2021010008,20212022,1,2021-09-27T00:00:00Z,28,24,3,6,home win REG,Honda Center,FINAL
11,2021010009,20212022,1,2021-09-27T01:00:00Z,22,20,4,0,away winREG,Scotiabank Saddledome,FINAL
12,2021010010,20212022,1,2021-09-27T01:00:00Z,23,55,3,5,home win REG,Spokane Veterans Memorial Arena,FINAL
13,2021010011,20212022,1,2021-09-27T02:00:00Z,28,54,4,2,away winREG,T-Mobile Arena,FINAL
14,2021010012,20212022,1,2021-09-27T23:00:00Z,10,8,2,5,home win REG,Centre Bell,FINAL
15,2021010013,20212022,1,2021-09-27T23:00:00Z,29,5,3,0,away winREG,PPG Paints Arena,FINAL
16,2021010014,20212022,1,2021-09-28T00:00:00Z,25,19,1,2,home win OT,Enterprise Center,FINAL
